Temp,N,Q,Magetization,MagErr,Specific_Heat,SP_Err,Succeptibility,succepErr
0.45,32,2,0.15,0.11226699477737653,0.011332947530864198,0.008261217306233574,0.0004937065972222222,0.00040258127278763796
0.5,32,2,0.35,0.15389675281277312,0.022304687499999996,0.009810212336231038,0.0008349609374999999,0.0003738782672690925
0.55,32,2,511.8,120.34777859036008,0.052008006198347084,0.01620220141333468,464.1845880681818,5.769167076832452
0.6,32,2,512.0,120.08897901508881,0.06553819444444443,0.04287020194592713,423.6744791666667,5.27356382002314
0.65,32,2,410.1,117.54949214051527,0.07421875000000001,0.030924281032209178,374.71873497596147,38.18827094135849
0.7,32,2,563.4,118.81633210810402,0.1441924426020408,0.04667622754089394,355.493359375,18.259756783158622
0.75,32,2,410.55,116.38403511138829,0.18819444444444444,0.05723426577668897,318.34849934895834,32.45606483328849
0.8,32,2,513.0,118.23489461537628,0.30694580078125,0.11378439364259688,308.01977539062494,4.098628420133323
0.85,32,2,361.55,111.48808303706625,0.4126703070934257,0.08800001382784928,257.75982019761034,40.32253003649238
0.9,32,2,316.15,105.61350316063522,0.20586178626543208,0.05939673532378969,218.4608588324653,47.3226769483835
0.95,32,2,462.65,112.31786795788048,0.5879826004155124,0.20960184038517288,234.07301346628287,12.197500660901918
1,32,2,607.2,107.41442770772646,0.5365136718749999,0.15735937433947117,203.37730468749996,21.124241091215165
1.05,32,2,474.7,105.4018586200168,0.7195560515873016,0.21164316787672002,186.50242745535715,10.27788555190762
1.1,32,2,400.25,88.95480738123534,0.6960550103305784,0.28182266622992436,126.80121404474431,20.37162419151101
1.15,32,2,471.0,72.16497719474458,1.4633964437618152,0.28872002008422404,79.8237941576087,9.860030792450978
1.2,32,2,471.35,51.531786979029526,1.0179239908854167,0.28776457649385834,39.00734659830729,5.774167049241503
1.25,32,2,512.421052631579,30.012169937867966,0.8957617728531857,0.3575560703297034,11.999861495844875,3.7584561477497145
1.3,32,2,539.0,41.079812808825764,0.6488867765347632,0.2634106904522196,7.764610877403846,4.732639634938453
1.35,32,2,494.8421052631579,14.557943645889042,0.40578725077801714,0.11778392243709615,2.614314019698369,0.6535474976588087
1.4,32,2,522.8571428571429,22.376778205855462,0.2971682534620992,0.07171200477309506,4.216244533527696,1.354004768101341
1.45,32,2,495.22222222222223,22.761520282168227,0.37364579204650555,0.15655370051772047,2.481258647296722,0.8626898336748559
1.5,32,2,512.375,21.44945411036497,0.3484157986111111,0.1908063410214586,1.834625244140625,0.5262221585766974
1.55,32,2,496.1666666666667,19.075464170848726,0.08816048098046018,0.07869862726704657,0.9552286346326164,0.4088870323017826
1.6,32,2,503.35,11.875922474740182,0.3087272644042968,0.0644207538349884,1.5537887573242186,0.5170830869738772
1.65,32,2,502.7647058823529,11.860362495700198,0.2019645972146759,0.04618543287664984,1.2537272596204259,0.3788026507042323
1.7,32,2,520.35,7.2937095805895735,0.21388408304498266,0.058841704613883085,0.5516012752757353,0.1920263255942236
1.75,32,2,520.3,8.073450898982506,0.17428571428571424,0.06944712620925254,0.6565345982142857,0.24059604185664463
1.8,32,2,504.05,8.477597984690469,0.2404031635802469,0.053569533478842093,0.7038018120659721,0.21733689506380216
1.85,32,2,513.15,6.945484194245997,0.25229124817384946,0.06242409842811553,0.4596323374155405,0.11966389275152403
1.9,32,2,522.05,6.771078712081784,0.17752337257617729,0.050343383478379564,0.42534308182565794,0.13652672605093566
1.95,32,2,501.65,10.72168047150092,0.13740959894806049,0.038205167138513796,1.0391263521634615,0.3414872323274171
0.45,32,3,0.25,0.14652011481131638,0.009837962962962963,0.004779991595711984,0.0008409288194444445,0.0004830915633584459
0.5,32,3,0.6,0.2157252792833599,0.021249999999999998,0.008014847243515696,0.0016406250000000002,0.0006158005475794548
0.55,32,3,1075.25,193.58014760224356,0.07760847107438017,0.025964680422175826,1200.9811567826705,221.13875392054697
0.6,32,3,1227.2,143.85837911292208,0.10291883680555557,0.033368465724701646,607.9898437500002,187.9926793248622
0.65,32,3,770.55,183.0517459347239,0.2491910133136094,0.05621502079449393,908.6814115084135,205.34731436618455
0.7,32,3,1022.8,168.00299430124107,0.1683822943239796,0.042999962179522455,710.7440848214286,176.32707233377957
0.75,32,3,728.2,199.12207032864728,0.7534722222222222,0.24182685894730435,931.868828125,191.80632167519954
0.8,32,3,876.85,170.0792266909764,0.5796051025390624,0.1804663556902346,637.3673431396484,151.36789226898208
0.85,32,3,734.95,192.05033785825046,0.6031844723183393,0.20083998900648098,764.8714929917281,156.30318559726186
0.9,32,3,791.95,197.03062285718508,1.032744984567901,0.305589464803347,760.3301296657986,128.04084903889614
0.95,32,3,1205.85,183.50893877252494,1.387257076696676,0.5417888119080263,624.8389468544408,100.56285274596264
1,32,3,801.5,204.40129375541852,4.30535888671875,2.1124829104288425,91.801513671875,81.47932380256806
1.05,32,3,1002.1,57.148377378863955,2.6539558531746033,1.30492566343623,24.603878348214288,11.687883905432031
1.1,32,3,915.7777777777778,68.59978539001091,0.160877238292011,0.05825660272327594,29.709157547699217,11.870507204975658
1.15,32,3,1030.3846153846155,36.696869844855385,0.32337620664198385,0.23961477827404698,12.667163783123232,5.474457345690008
1.2,32,3,1010.1666666666666,30.761556094146677,0.8177957417052469,0.40319465516546543,3.2086633752893516,2.820208578494967
1.25,32,3,1005.625,32.087213741836194,0.2473046875,0.1484486432561095,4.92674560546875,2.2180038646501385
1.3,32,3,1021.4615384615385,24.690195811916254,0.24666229736353765,0.11591015146770887,5.07253321290396,3.212127516096743
