Temparature,M,M2,M4
1.4,993.431,986908,
1.45,993.141,986335,
1.5,992.703,985469,
1.55,992.044,984166,
1.6,991.052,982208,
1.65,989.55,979248,
1.7,987.257,974740,
1.75,983.775,967918,
1.8,978.676,957969,
1.85,971.726,944488,
1.9,963.068,927820,
1.95,953.076,908764,
2,942.086,888041,
2.05,930.314,866124,
2.1,917.859,843261,
2.15,904.711,819498,
2.2,890.806,794796,
2.25,876.115,769176,
2.3,860.628,742725,
2.35,844.208,715350,
2.4,826.293,686376,
2.45,805.357,653925,
2.5,777.599,613616,
